id,title,authors,year,journal,doi,official_url,pubmed_url,category,study_type,population,variables,key_findings,limitations,rag_summary,keywords
H01,The Impact of Heatwaves on Mortality and Morbidity and the Associated Vulnerability Factors: A Systematic Review,Not available,2022,International Journal of Environmental Research and Public Health (per PubMed record),Not available,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9738283/,https://pubmed.ncbi.nlm.nih.gov/36498428/,"Heat, Weather & Human Health","Systematic review (PRISMA 2020, PROSPERO CRD42021232847)","32 articles (2012-2022), human populations, global","Heatwave exposure; all-cause/cause-specific mortality and morbidity; sensitivity-based vulnerability factors (age, sex, SES, comorbidity, rurality)","Heatwave events increase mortality and morbidity incidence; elderly, children, low-SES groups, people with cardiopulmonary/renal/mental disease and rural residents show heightened vulnerability",Narrative synthesis across heterogeneous heatwave definitions and outcome metrics; risk-of-bias varies by included study; no pooled effect size for India specifically,"Systematic review (32 studies, 2012-2022) confirming heatwaves raise mortality/morbidity, with elderly, low-SES, rural and comorbid populations most vulnerable; supports personalized-risk vulnerability weighting in SwasthyaSathi.",heatwave; mortality; morbidity; vulnerability; systematic review; elderly; comorbidity
H02,"Vulnerability to Heat-related Mortality: A Systematic Review, Meta-analysis, and Meta-regression Analysis",Not available,Not available,Not available,Not available,https://pubmed.ncbi.nlm.nih.gov/26332052/,https://pubmed.ncbi.nlm.nih.gov/26332052/,"Heat, Weather & Human Health","Systematic review, meta-analysis, meta-regression","Studies 1980-2014, multiple subgroups (age, SES) globally","Ambient temperature/heat waves; mortality; subgroup vulnerability (age >65, >75, low SES)","Strongest evidence of heat-vulnerability found for elderly (>65, >75 years) and low socioeconomic-status groups; evidence for other subgroups (children, people living alone) inconclusive",Heterogeneity between subgroup definitions across studies; RRR meta-regression sensitive to study selection; causal pathways not established for all subgroups,"Meta-analysis/meta-regression showing the elderly and low-SES individuals carry the strongest evidence for heat-mortality vulnerability, while evidence for children/isolated individuals remains inconclusive — useful for calibrating age/SES risk weights without over-claiming for under-evidenced groups.",heat-related mortality; vulnerability; meta-regression; elderly; socioeconomic status
H03,Association between ambient temperature and heat waves with mortality in South Asia: Systematic review and meta-analysis,Not available,2021,Environment International (per PubMed record),Not available,https://pubmed.ncbi.nlm.nih.gov/33395923/,https://pubmed.ncbi.nlm.nih.gov/33395923/,"Heat, Weather & Human Health",Systematic review and meta-analysis (Navigation Guide methodology),"27 studies (qualitative synthesis), 5 in meta-analysis; South Asia, 1990-2020",Ambient temperature; heat waves; all-cause mortality,U-shaped mortality-temperature relationship in South Asia with increased mortality at both high and low temperatures; statistically significant heat-wave association reported in a subset of studies,Only 5 of 27 eligible studies could be pooled quantitatively; substantial regional heterogeneity within South Asia; India-specific effect sizes not separately reported in abstract,"South-Asia-specific systematic review/meta-analysis (highly relevant to an India-based tool) confirming a U-shaped temperature-mortality relationship, with heat waves associated with excess all-cause mortality across the region.",South Asia; India; heat wave; ambient temperature; mortality; meta-analysis
H04,Impact of heatwave on mortality under different heatwave definitions: A systematic review and meta-analysis,Not available,2016,Environment International,Not available,https://www.sciencedirect.com/science/article/abs/pii/S0160412016300411,https://pubmed.ncbi.nlm.nih.gov/26878285/,"Heat, Weather & Human Health",Systematic review and meta-analysis,"Studies published 2000-2015, five databases searched",Heatwave definition (percentile/duration thresholds); total and cardiorespiratory mortality,Heatwave-related mortality risk increased 3-16% depending on the temperature-percentile/duration threshold used to define a heatwave; magnitude of effect is definition-dependent,"No universally consistent heatwave definition exists, complicating cross-study comparison; effect sizes not directly transferable to non-included regions",Meta-analysis showing that the mortality risk attributed to a 'heatwave' varies substantially (3-16% increase) depending on which percentile/duration threshold is used to define it — important for how SwasthyaSathi calibrates its own heat-alert thresholds without overstating precision.,heatwave definition; mortality risk; percentile threshold; meta-analysis
H05,Association of heat and cold waves with cause-specific mortality in Iran: a systematic review and meta-analysis,Not available,2024,Scientific Reports (per PubMed record),Not available,https://pubmed.ncbi.nlm.nih.gov/39375490/,https://pubmed.ncbi.nlm.nih.gov/39375490/,"Heat, Weather & Human Health",Systematic review and meta-analysis,"Iran, multiple regions","Heat/cold waves; all-cause, cardiovascular, respiratory mortality; age and sex subgroups","Heat waves significantly increased all-cause, cardiovascular and respiratory mortality; elderly (>65) showed larger effect sizes than younger groups",Findings specific to Iranian climate/health-system context; cross-country generalizability uncertain,"Regional (Iran) meta-analysis reinforcing that heat waves elevate cardiovascular and respiratory mortality more than all-cause mortality broadly, and that elderly populations bear a disproportionate share of this risk.",heat wave; cold wave; cardiovascular mortality; respiratory mortality; Iran
H06,Assessing Heat-Related Mortality Risks among Rural Populations: A Systematic Review and Meta-Analysis of Epidemiological Evidence,Not available,2018,International Journal of Environmental Research and Public Health (per PMC record),Not available,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6122068/,Not available,"Heat, Weather & Human Health",Systematic review and meta-analysis,"14 studies, 7 countries, 4 continents, rural settings; 11 in meta-analysis",Daily mean temperature; all-cause and cardiovascular mortality in rural areas,Pooled RR = 1.030 (95% CI 1.013-1.048) for all-cause mortality and RR = 1.111 (95% CI 1.045-1.181) for cardiovascular mortality per 1°C increase; rural excess risk not smaller than urban,Only 14 eligible studies found globally on rural heat mortality — an evidence gap; heterogeneous rural definitions across countries,"Quantifies heat-mortality dose-response in rural populations: roughly 3% higher all-cause mortality and 11% higher cardiovascular mortality per 1°C rise, relevant for SwasthyaSathi's rural/outdoor-worker risk messaging.",rural; heat-related mortality; cardiovascular; dose-response; meta-analysis
H07,"Mortality, morbidity and healthcare costs of short-term high temperatures and heatwaves exposure in older populations: a global systematic review and meta-analysis",Not available,2026,Environment International,Not available,https://www.sciencedirect.com/science/article/pii/S0160412026000875,Not available,"Heat, Weather & Human Health","Systematic review and meta-analysis (PROSPERO CRD42023423311, Navigation Guide framework)","623 eligible studies (of 21,610 screened), 6 continents, 305 locations, older adults","Short-term high temperature/heatwave exposure; ICD-10 cause-specific mortality, morbidity, healthcare costs in older adults","Confirms elevated cardiovascular, respiratory and cerebrovascular mortality/morbidity in older adults during heat exposure; identifies additional risks (self-harm, digestive disease, COPD, asthma, dementia) not previously synthesized",Very recent/large review; effect heterogeneity across climate zones; healthcare-cost estimates vary by country income level,"Large-scale (623-study) 2026 meta-analysis specifically on older adults, confirming heat raises risk not just for cardiovascular/respiratory disease but also self-harm, COPD, and dementia-related morbidity — supports broader elderly risk-flagging beyond classic heatstroke.",older adults; heatwave; healthcare costs; ICD-10; dementia; cardiovascular
H08,A physiological approach for assessing human survivability and liveability to heat in a changing climate,Jane W. Baldwin; Coen Bongers; Kristie L. Ebi; et al.,2023,Nature Communications,10.1038/s41467-023-43121-5,https://www.nature.com/articles/s41467-023-43121-5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10687011/,"Heat, Weather & Human Health",Physiological/biophysical modeling study,"Modeled young and older adults, male/female, sun/shade scenarios",Wet-bulb temperature (Tw); age; sex; sun exposure; survivability and liveability limits,"Physiology-based survivability limits are 0.9-13.1°C lower than the classic 35°C Tw threshold, especially in hot-dry conditions and for older females (7.2-13.1°C lower)","Modeling study, not direct clinical outcome data; assumes idealized conditions (shade, hydration); real-world acclimatization and clothing vary","Shows the traditional 35°C wet-bulb survivability limit substantially underestimates risk, especially for older adults and in dry heat — SwasthyaSathi's environmental risk fusion should not treat 35°C Tw as a universal 'safe' cutoff.",wet-bulb temperature; survivability; heat physiology; older adults; climate change
H09,Mapping Human Survivability at Extreme Wet-Bulb Temperatures 32-35°C,Not available,2025,"bioRxiv (preprint, not yet peer-reviewed)",Not available,https://www.biorxiv.org/content/10.1101/2025.09.22.677706.full.pdf,Not available,"Heat, Weather & Human Health",Controlled human laboratory exposure study (preprint),"60 young males, 48 young females; controlled chamber study",Wet-bulb temperature 32-35°C; metabolic rate; prolonged heat exposure tolerance,Empirical human chamber data extends prior modeling; critical Tw thresholds for uncompensable heat stress observed within 24.1-34.6°C range depending on conditions,"PREPRINT — not yet peer-reviewed; young/healthy sample only, not generalizable to elderly or comorbid populations",Preprint (flag as not yet peer-reviewed) providing rare empirical (not just modeled) human data on survivable wet-bulb temperature ranges — should be cited as preliminary evidence only.,wet-bulb temperature; human chamber study; heat tolerance; preprint
H10,Validating new limits for human thermoregulation,Not available,2025,Not available,Not available,https://pubmed.ncbi.nlm.nih.gov/40163728/,https://pubmed.ncbi.nlm.nih.gov/40163728/,"Heat, Weather & Human Health",Commentary/validation study on thermoregulation limits,Not available,Wet-bulb temperature; thermoregulatory failure threshold,Laboratory studies suggest humans cannot effectively thermoregulate at wet-bulb temperatures above 26-31°C — considerably lower than the widely publicized 35°C threshold,"Based on limited laboratory exposure durations; population-specific thresholds (age, fitness) not fully resolved","Reinforces that safe wet-bulb thermoregulation may fail well below 35°C (as low as 26-31°C), a key caution against using 35°C as SwasthyaSathi's critical heat threshold.",thermoregulation; wet-bulb temperature; heat limits
